,ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersionDisplayName,PointsAchieved,CertLevel,CertDate,IsCertified,OwnerTypes,GrossSqFoot,TotalPropArea,ProjectTypes,OwnerOrganization,RegistrationDate
54413,1000001442,No,Baldinger Bakery,1256 Phalen Blvd,St Paul,MN,55106,US,LEED-NC v2009,55.0,Silver,10/21/11 0:00,Yes,Corporate: Privately Held,146597.0,400272.0,Warehouse and Distribution Center: Refrigerated,Baldinger Bakery,9/1/09 0:00
54423,1000001452,No,Miller Bonded Mechanical Fab Facility,4538 McLeod Road NE,Albuquerque,NM,87109,US,LEED-NC v2009,66.0,Gold,6/10/11 0:00,Yes,Corporate: Privately Held,16000.0,99696.0,Industrial,"KGE Properties, LLC",9/2/09 0:00
54426,1000001455,No,Arvin Community Dental Center,1305 Bear Mountain Blvd.,Arvin,CA,93203,US,LEED-NC v2009,51.0,Silver,9/7/11 0:00,Yes,Corporate: Privately Held,3865.0,109627.0,Health Care: Clinic/Other Outpatient,Clinica Sierra Vista,9/2/09 0:00
54435,1000001466,No,US Forest Service Tucson IOC,2646 E. Commerce Center Place,Tucson,AZ,85706,US,LEED-NC v2009,60.0,Gold,1/14/11 0:00,Yes,Corporate: Privately Held,12800.0,162779.0,Office: Government,HAM Tucson LLC,9/3/09 0:00
54460,1000001499,No,M E Group Office Building,8040 Davenport,Omaha,NE,68114,US,LEED-NC v2009,84.0,Platinum,7/13/10 0:00,Yes,Corporate: Privately Held,6268.0,9898.0,Commercial Office,M.E. Group,9/9/09 0:00
54463,1000001502,No,Timbers Clubhouse,Main Street,Fort Drum,NY,13602,US,LEED-NC v2009,40.0,Certified,11/8/11 0:00,Yes,Corporate: Privately Held,7142.0,145225.0,Public Assembly: Recreation,Actus Lend Lease,9/8/09 0:00
54477,1000001520,No,Reeves Wiedeman Company,3635 Main Street,Kansas City,MO,64111,US,LEED-NC v2009,61.0,Gold,12/1/11 0:00,Yes,Corporate: Privately Held,22260.0,32180.0,Office: Mixed-Use,Reeves Wiedeman Company,9/9/09 0:00
54505,1000001558,No,2 M Street,2 M Street NE,Washington,DC,20002,US,LEED-NC v2009,57.0,,,No,Corporate: Privately Held,314123.0,36500.0,Multi-Family Residential: Apartment,William C. Smith & Co.,9/11/09 0:00
54513,1000001571,No,Royal Farms 144,320 Carlisle Road,Dover,PA,17315,US,LEED-NC v2009,41.0,Certified,6/8/11 0:00,Yes,Corporate: Privately Held,5125.0,48806.0,Retail,Royal Farms,9/11/09 0:00
54528,1000001588,No,PetSmart,535 West Montauk Highway,West Babylon,NY,11704,US,LEED-NC v2009,49.0,Certified,12/1/11 0:00,Yes,Corporate: Privately Held,18287.0,110672.0,Retail: Other Retail,"535 Montauk Associates, LLC",9/14/09 0:00
54540,1000001601,No,Architectural Nexus Design Center,2505 East Parleys Way,Salt Lake City,UT,84109,US,LEED-NC v2009,80.0,Platinum,3/15/11 0:00,Yes,Corporate: Privately Held,30749.0,84815.0,Office: Administrative/Professional,Architectural Nexus,9/15/09 0:00
54567,1000001648,No,Wilder Quarry House,101 Upton Road,Orinda,CA,94563,US,LEED-NC v2009,41.0,Certified,3/21/12 0:00,Yes,Corporate: Privately Held,8618.0,256517.0,Public Assembly: Social/Meeting,Brooks Street,9/16/09 0:00
54600,1000001684,No,Restaurant Depot Alexandria,4600 Eisenhower Avenue,Alexandria,VA,22304,US,LEED-NC v2009,40.0,Certified,4/2/13 0:00,Yes,Corporate: Privately Held,72850.0,230991.0,Warehouse and Distribution Center: Refrigerated,Restaurant Depot,9/18/09 0:00
54657,1000001763,No,Walsh Headquarters,925 W. Jackson Blvd.,Chicago,IL,60607,US,LEED-NC v2009,86.0,Platinum,2/29/12 0:00,Yes,Corporate: Privately Held,93401.0,23392.0,Office: Administrative/Professional,Walsh Construction,9/24/09 0:00
54755,1000001908,No,MedPace,5401 Madison Avenue,Cincinnati,OH,45227,US,LEED-NC v2009,40.0,Certified,3/7/11 0:00,Yes,Corporate: Privately Held,130000.0,319086.0,Office: Administrative/Professional,Medpace,10/5/09 0:00
54771,1000001930,No,Virginia Natural Gas  Lakeview Corp Park,Studio Drive,Virginia Beach,VA,23454,US,LEED-NC v2009,46.0,Certified,7/7/11 0:00,Yes,Corporate: Privately Held,32596.0,119655.0,Office: Other Office,Armada Hoffler,10/5/09 0:00
54820,1000001988,No,Delta Energy LLC,5555 Perimeter Drive,Dublin,OH,43017,US,LEED-NC v2009,40.0,Certified,10/18/13 0:00,Yes,Corporate: Privately Held,19679.0,112211.0,Office: Administrative/Professional,Delta Energy LLC,10/9/09 0:00
54871,1000002052,No,Madison View Apartments,642 N.W. 5th Avenue,Miami,FL,33136,US,LEED-NC v2009,50.0,Silver,5/24/11 0:00,Yes,Corporate: Privately Held,141818.0,144133.0,Multi-Family Residential: Apartment,"Madison Housing, LTD.",10/14/09 0:00
54913,1000002104,No,Kraft Distribution Center,6710 Oakley Industrial Blvd,Union City,GA,30291,US,LEED-NC v2009,51.0,Silver,8/3/11 0:00,Yes,Corporate: Privately Held,989645.0,5184511.0,Warehouse and Distribution Center: Refrigerated,Commerce Construction,10/19/09 0:00
55001,1000002218,No,CVS 3825 3rd La Brea,303 S. La Brea Ave,Los Angeles,CA,90036,US,LEED-NC v2009,43.0,Certified,12/10/13 0:00,Yes,Corporate: Privately Held,10545.0,21634.0,Retail: Other Retail,CVS Caremark,10/26/09 0:00
55064,1000002303,No,Posty Cards Expansion,1600 Olive St.,Kansas City,MO,64127,US,LEED-NC v2009,81.0,Platinum,4/3/12 0:00,Yes,Corporate: Privately Held,45249.0,121213.0,Commercial Office,Posty Cards,11/2/09 0:00
55068,1000002307,No,Perkins and Will Atlanta Office,1315 Peachtree Street NE,Atlanta,GA,30309,US,LEED-NC v2009,95.0,Platinum,2/24/12 0:00,Yes,Corporate: Privately Held,62684.0,23593.0,Office: Mixed-Use,Perkins + Will,11/2/09 0:00
55200,1000002477,No,General Datatech,999 Metro Media Place,Dallas,TX,75247,US,LEED-NC v2009,67.0,Gold,5/16/13 0:00,Yes,Corporate: Privately Held,92792.0,233203.0,Office: Administrative/Professional,General Datatech,11/12/09 0:00
55221,1000002503,No,DHS - Salt Lake City,2975 South Decker Lake Drive,West Valley City,UT,84119,US,LEED-NC v2009,63.0,Gold,3/26/12 0:00,Yes,Corporate: Privately Held,95137.0,252634.0,Office: Government,"US Federal Properties Co., LLC",11/13/09 0:00
55262,1000002555,No,UMB - Prairie Village Branch Bank,6900 Mission Road,Prairie Village,KS,66208,US,LEED-NC v2009,58.0,Silver,7/12/12 0:00,Yes,Corporate: Privately Held,4547.0,23610.0,Retail: Bank Branch,"UMB Bank, N.a.",11/17/09 0:00
55268,1000002562,No,Metro Green Apartments B,Atlantic Street,Stamford,CT,6902,US,LEED-NC v2009,66.0,Gold,10/11/13 0:00,Yes,Corporate: Privately Held,61268.0,24314.0,Multi-Family Residential: Apartment,Jonathan Rose Companies LLC,11/18/09 0:00
55281,1000002578,No,Astellas Headquarters For The Americas,1 Astellas Way,Northbrook,IL,60062,US,LEED-NC v2009,63.0,Gold,1/14/13 0:00,Yes,Corporate: Privately Held,452488.0,386327.0,Office: Administrative/Professional,Astellas US LLC,11/18/09 0:00
55294,1000002593,No,231 Main Street Building,231 Main Street,New Paltz,NY,12561,US,LEED-NC v2009,71.0,,,No,Corporate: Privately Held,8100.0,20000.0,Commercial Office,231 Main Street In Balance LLC,11/19/09 0:00
55320,1000002624,No,Treasure Valley Community College,205 S. 6th Street,Caldwell,ID,83605,US,LEED-NC v2009,65.0,Gold,3/10/11 0:00,Yes,Corporate: Privately Held,38947.0,18465.0,Core Learning Space: College/University,Oppenheimer Development Corp,11/20/09 0:00
55337,1000002648,No,Hotel Vermont,41 Cherry Street,Burlington,VT,5401,US,LEED-NC v2009,41.0,Certified,5/4/15 0:00,Yes,Corporate: Privately Held,84295.0,22613.0,"Lodging: Hotel/Motel/Resort, Select Service",41 Cherry Street LLC,11/23/09 0:00
55366,1000002679,No,Sterling University UCF-2,3603 N Aristotle Ave,Orlando,FL,32826,US,LEED-NC v2009,55.0,Silver,2/27/12 0:00,Yes,Corporate: Privately Held,615391.0,224334.0,Multi-Family Residential: Apartment,Highway One Construction,11/25/09 0:00
55420,1000002743,No,UH Seidman Cancer Center,11100 Euclid Avenue,Cleveland,OH,44106,US,LEED-NC v2009,41.0,Certified,5/10/13 0:00,Yes,Corporate: Privately Held,370287.0,92906.0,Health Care,University Hospitals Case Medical Center,11/30/09 0:00
55425,1000002749,No,Keyes European Mercedes,5400 Van Nuys,Van Nuys,CA,91401-5650,US,LEED-NC v2009,56.0,Silver,9/12/13 0:00,Yes,Corporate: Privately Held,163493.0,222338.0,Retail: Vehicle Dealership,Howard A. Keyes Trust,12/1/09 0:00
55427,1000002752,No,Gardens At Driftwood,7350 N. Davie Rd. Extension,Hollywood,FL,33024,US,LEED-NC v2009,50.0,Silver,6/27/11 0:00,Yes,Corporate: Privately Held,107820.0,217364.0,Multi-Family Residential: Apartment,"Madison Housing, LTD.",12/1/09 0:00
55476,1000002815,No,Hampton Inn and Suites Chattanooga,400 Chestnut Street,Chattanooga,TN,37402,US,LEED-NC v2009,55.0,Silver,9/25/12 0:00,Yes,Corporate: Privately Held,132086.0,47916.0,Hotel/Resort,"Vision Hospitality Group, Inc",12/4/09 0:00
55550,1000002916,No,Courtside Apartments,1410 Orchard Street,Eugene,OR,97403,US,LEED-NC v2009,63.0,Gold,8/5/11 0:00,Yes,Corporate: Privately Held,61881.0,18939.0,Multi-Family Residential: Apartment,Project^,12/8/09 0:00
55564,1000002932,No,Baylor Medical Center at Uptown,2727 Lemmon Avenue,Dallas,TX,75204,US,LEED-NC v2009,50.0,Silver,6/20/11 0:00,Yes,Corporate: Privately Held,63500.0,53816.0,Health Care: Inpatient,"BremnerDuke Mary Shiels Development, L.P",12/8/09 0:00
55644,1000003042,No,Southern Bancorp Hernando,970 Byhalia Road,Hernando,MS,38632,US,LEED-NC v2009,41.0,Certified,8/13/12 0:00,Yes,Corporate: Privately Held,5835.0,74617.0,Office: Financial,Southern Bancorp Bank,12/11/09 0:00
55682,1000003092,No,Rice Fergus Miller Office Building,275 5th Street,Bremerton,WA,98337,US,LEED-NC v2009,92.0,Platinum,10/4/11 0:00,Yes,Corporate: Privately Held,32045.0,14195.0,Commercial Office,Rice Fergus Miller PLLC,12/14/09 0:00
55711,1000003124,No,GSA-SSA,Broomfield /Sweeney Road,Mount Pleasant,MI,48858,US,LEED-NC v2009,52.0,Silver,9/22/11 0:00,Yes,Corporate: Privately Held,20226.0,87555.0,Office: Government,Land Developer,12/15/09 0:00
55728,1000003146,No,Simmons Office Building,1 Court Street,Alton,IL,62024,US,LEED-NC v2009,43.0,Certified,3/2/12 0:00,Yes,Corporate: Privately Held,68164.5,79954.0,Office: Other Office,"Giant City Properties, LLC",12/16/09 0:00
55800,1000003234,No,Fields Northfield Volvo,770 Frontage Road,Northfield,IL,60093,US,LEED-NC v2009,55.0,Silver,9/20/12 0:00,Yes,Corporate: Privately Held,27056.1,111073.0,Retail: Vehicle Dealership,Fields Auto Group,12/18/09 0:00
55860,1000003303,No,Middletown VA CBOC,4337 Union Road,Middletown,OH,45005,US,LEED-NC v2009,50.0,Silver,11/8/11 0:00,Yes,Corporate: Privately Held,20284.0,163560.0,Health Care: Clinic/Other Outpatient,"Neyer East Pointe 200, LLC",12/21/09 0:00
55894,1000003346,No,HYPOWER FACILITIES - Office,1645 N.W. 33rd Street,Pompano Beach,FL,33069,US,LEED-NC v2009,71.0,Gold,10/2/11 0:00,Yes,Corporate: Privately Held,10305.0,78903.0,Warehouse and Distribution Center: Warehouse,"Hypower, Inc.",12/22/09 0:00
55928,1000003387,No,Royal Farms 118,Carlisle St. & Chesnut St.,Hanover,PA,17331,US,LEED-NC v2009,44.0,Certified,12/12/11 0:00,Yes,Corporate: Privately Held,5125.0,48806.0,Retail,Royal Farms,12/23/09 0:00
55930,1000003389,No,Royal Farms 159,1801 Washington Boulevard,Baltimoer,MD,21230,US,LEED-NC v2009,40.0,Certified,2/29/12 0:00,Yes,Corporate: Privately Held,5125.0,38627.0,Retail,Royal Farms,12/23/09 0:00
56014,1000003485,No,Engine House No 5,1331 19th,Denver,CO,80202,US,LEED-NC v2009,92.0,Platinum,8/3/11 0:00,Yes,Corporate: Privately Held,13024.0,16940.0,Office: Administrative/Professional,SLATERPAULL Architects,12/28/09 0:00
56048,1000003528,No,Woodward Design Build Headquarters,1000 S. Jefferson Davis Parkway,New Orleans,LA,70119,US,LEED-NC v2009,61.0,Gold,10/29/13 0:00,Yes,Corporate: Privately Held,45032.0,60754.0,Office: Administrative/Professional,Woodward Design+Build,12/30/09 0:00
56071,1000003553,No,Pathfinder Holdings 134 S Fitzhugh Renov,134 S Fitzhugh St,Rochester,NY,14608,US,LEED-NC v2009,60.0,Gold,9/27/10 0:00,Yes,Corporate: Privately Held,9432.0,19170.0,Commercial Office,Pathfinder Engineers LLP,12/30/09 0:00
56084,1000003568,No,New Distribution Facility,Intersection Of CR 118 And Turnersville Road,Buda,TX,78610,US,LEED-NC v2009,53.0,Silver,10/22/12 0:00,Yes,Corporate: Privately Held,292263.0,1749788.0,Commercial Office,U.S. Foodservice,12/31/09 0:00
56102,1000003591,No,Veolia Scalehouse,3163 Weatherington Lane,Valdosta,GA,31601,US,LEED-NC v2009,48.0,Certified,10/9/10 0:00,Yes,Corporate: Privately Held,1776.0,21780.0,Office: Administrative/Professional,"Veolia ES Evergreen Landfill, Inc.",1/3/10 0:00
56116,1000003605,No,Huntsville IRS,5123 Research Dr NW,Huntsville,AL,35805,US,LEED-NC v2009,60.0,Gold,6/10/11 0:00,Yes,Corporate: Privately Held,14500.0,108987.0,Office: Government,LBA Construction,1/4/10 0:00
56148,1000003639,No,Des Plaines Casino,3000 River Road,Des Plaines,IL,60016,US,LEED-NC v2009,62.0,Gold,3/1/12 0:00,Yes,Corporate: Privately Held,140000.0,850150.0,Public Assembly: Entertainment,Midwest Gaming & Entertainment,1/4/10 0:00
56208,1000003714,No,Midland States Bank,1201 Network Centre Drive,Effingham,IL,62401,US,LEED-NC v2009,52.0,Silver,6/1/12 0:00,Yes,Corporate: Privately Held,79500.0,204296.0,Office: Financial,Midland States Bank,1/5/10 0:00
56249,1000003764,No,Hunter Industries-1910,1910 Diamond Street,San Marcos,CA,92078,US,LEED-NC v2009,50.0,Silver,6/13/11 0:00,Yes,Corporate: Privately Held,18035.0,46044.0,Industrial Manufacturing,Hunter Industries Inc.,1/6/10 0:00
56251,1000003767,No,J-W Hangar Building,15508 Wright Brothers Dr,Addison,TX,75222,US,LEED-NC v2009,47.0,Certified,3/5/11 0:00,Yes,Corporate: Privately Held,15092.0,23836.0,Office: Administrative/Professional,J-W Operating Company,1/6/10 0:00
56392,1000003920,No,Samuel Staten Sr Office Building,665 N Broad Street,Philadelphia,PA,19130,US,LEED-NC v2009,50.0,Silver,5/6/13 0:00,Yes,Corporate: Privately Held,25420.0,5105.0,Office: Administrative/Professional,Laborers' District Council,1/8/10 0:00
56433,1000003963,No,Unity Health Care - Anacostia,1500 Galen Street SE,Washington,DC,20020,US,LEED-NC v2009,57.0,Silver,10/28/13 0:00,Yes,Corporate: Privately Held,27934.0,40000.0,Health Care: Clinic/Other Outpatient,DC Primary Care Association,1/8/10 0:00
56482,1000004012,No,Brewery Vivant,925 Cherry St,Grand Rapids,MI,49506,US,LEED-NC v2009,52.0,Silver,1/3/12 0:00,Yes,Corporate: Privately Held,9095.0,48417.0,Retail: Restaurant/Cafeteria,Brewery Vivant,1/8/10 0:00
56531,1000004065,No,Denver Union Station Transit Center,1700 Wewatta Street,Denver,CO,80202,US,LEED-NC v2009,62.0,Gold,8/26/14 0:00,Yes,Corporate: Privately Held,186538.0,982246.0,Service: Other Service,Trammell Crow Company,1/8/10 0:00
56619,1000004167,No,Royal Farms 153,111 Street,Hollander Ridge,MD,21237,US,LEED-NC v2009,41.0,Certified,3/5/12 0:00,Yes,Corporate: Privately Held,5125.0,75795.0,Retail: Convenience Store,Royal Farms,1/10/10 0:00
56624,1000004173,No,Royal Farms 149,1558 Annapolis Rd,Odenton,MD,21113,US,LEED-NC v2009,40.0,Certified,2/28/12 0:00,Yes,Corporate: Privately Held,5125.0,57797.0,Retail: Convenience Store,Royal Farms,1/10/10 0:00
56635,1000004184,No,Royal Farms 013,11460 S. Dupont Hwy,Felton,DE,19943,US,LEED-NC v2009,40.0,Certified,8/31/11 0:00,Yes,Corporate: Privately Held,5125.0,124146.0,Retail: Convenience Store,Royal Farms,1/10/10 0:00
56693,1000004259,No,Regent Bank,550 E. McBee Avenue,Greenville,SC,29601,US,LEED-NC v2009,43.0,Certified,7/5/11 0:00,Yes,Corporate: Privately Held,20601.0,34848.0,Office: Financial,Regent Bank Of South Carolina,1/12/10 0:00
56736,1000004312,No,Arbour Square Apartments,148th And Orchard Parkway,Westminster,CO,80023,US,LEED-NC v2009,46.0,Certified,4/29/13 0:00,Yes,Corporate: Privately Held,361605.0,181514.0,Multi-Family Residential: Apartment,McWhinney,1/14/10 0:00
56745,1000004322,No,Halliburton North Belt Campus Child Care,3000 N Sam Houston Pkwy East,Houston,TX,77032,US,LEED-NC v2009,51.0,Silver,4/14/15 0:00,Yes,Corporate: Privately Held,10223.0,143734.0,Core Learning Space: Preschool/Daycare,Halliburton,1/14/10 0:00
56746,1000004323,No,Halliburton North Belt Campus Office,3000 N Sam Houston Pkwy East,Houston,TX,77032,US,LEED-NC v2009,50.0,Silver,12/3/14 0:00,Yes,Corporate: Privately Held,296884.0,597089.0,Office: Administrative/Professional,Halliburton,1/14/10 0:00
56759,1000004340,No,Residence Inn,3565 Chain Bridge Road,Fairfax,VA,22030,US,LEED-NC v2009,42.0,Certified,6/12/12 0:00,Yes,Corporate: Privately Held,104999.0,111212.0,"Lodging: Hotel/Motel/Resort, Select Service",WPM Construction,1/18/10 0:00
56845,1000004447,No,Santan Volkswagen,1489 E Motorplex Loop,Gilbert,AZ,85297,US,LEED-NC v2009,46.0,Certified,12/12/11 0:00,Yes,Corporate: Privately Held,32141.0,196020.0,Retail: Vehicle Dealership,Santan Volkswagen,1/27/10 0:00
56861,1000004474,No,TownePlace Suites by Marriott,55 Gate Road - Quonset Business Park,North Kingstown,RI,2852,US,LEED-NC v2009,53.0,Silver,8/16/12 0:00,Yes,Corporate: Privately Held,55453.0,201684.0,"Lodging: Hotel/Motel/Resort, Limited Service",Waterford Development Corp.,1/28/10 0:00
56900,1000004521,No,Avalon Business Center,28655 Industry Drive,Valencia,CA,91355,US,LEED-NC v2009,56.0,Silver,10/2/12 0:00,Yes,Corporate: Privately Held,24997.0,140054.0,Industrial Manufacturing,Avalon Investment,2/2/10 0:00
57070,1000004721,No,Herb Gordon Mercedes-Benz,3301 Briggs Chaney Road,Silver Spring,MD,20904,US,LEED-NC v2009,44.0,Certified,12/21/11 0:00,Yes,Corporate: Privately Held,55895.0,217051.0,Retail: Vehicle Dealership,Herb Gordon Auto Group,2/11/10 0:00
57131,1000004796,No,Wildflower Terrace,Intersection of Berman and Tom Miller,Austin,TX,78723,US,LEED-NC v2009,51.0,Silver,11/30/12 0:00,Yes,Corporate: Privately Held,236111.0,131122.0,Multi-Family Residential: Apartment,"DMA Development Company, LLC",2/17/10 0:00
57148,1000004815,No,Tamarack Lodge,Heavenly Mountain Resort,Stateline,NV,89449,US,LEED-NC v2009,42.0,Certified,8/4/11 0:00,Yes,Corporate: Privately Held,14980.0,250202.0,Retail: Restaurant/Cafeteria,Heavenly Mountain Resort,2/17/10 0:00
57258,1000004970,No,Sun N Fun Indoor Pool Building,7125 Fruitville Road,Sarasota,FL,34240,US,LEED-NC v2009,65.0,Gold,8/14/12 0:00,Yes,Corporate: Privately Held,18718.0,42800.0,Service: Vehicle Storage/Maintenance,Royalty Resorts,2/24/10 0:00
57266,1000004979,No,Kutol Products Company,100 Partnership Way,Sharonville,OH,45241,US,LEED-NC v2009,50.0,Silver,7/28/11 0:00,Yes,Corporate: Privately Held,152000.0,762300.0,Warehouse and Distribution Center: Warehouse,Kutol Products Company,2/25/10 0:00
57369,1000005105,No,Park Douglas Management Building,2719 W Roosevelt Rd.,Chicago,IL,60608,US,LEED-NC v2009,61.0,Gold,1/18/13 0:00,Yes,Corporate: Privately Held,3772.0,5760.0,Office: Administrative/Professional,"Ogden North, LLC",3/4/10 0:00
57379,1000005116,No,Stafford Hills Racquet Club,5916 SW Nyberg Lane,Tualatin,OR,97062,US,LEED-NC v2009,52.0,Silver,3/15/13 0:00,Yes,Corporate: Privately Held,90260.0,683456.0,Public Assembly: Recreation,Zupancic Group,3/4/10 0:00
57419,1000005167,No,Notre Dame Apartments,5725 NW 2nd Avenue,Miami,FL,33127,US,LEED-NC v2009,41.0,Certified,3/11/13 0:00,Yes,Corporate: Privately Held,123779.0,27304.0,Multi-Family Residential: Apartment,Biscayne Housing LLC,3/8/10 0:00
57448,1000005201,No,East Bakersfield Dental Center,East California Avenue & South Robinson Street,Bakersfield,CA,93307,US,LEED-NC v2009,46.0,Certified,2/21/12 0:00,Yes,Corporate: Privately Held,4013.0,28541.0,Health Care: Clinic/Other Outpatient,Clinica Sierra Vista,3/9/10 0:00
57499,1000005264,No,Utah Paper Box Office and Printing Bldg,920 South 700 West,Salt Lake City,UT,84104,US,LEED-NC v2009,61.0,Gold,7/29/13 0:00,Yes,Corporate: Privately Held,80814.0,130694.0,Industrial Manufacturing,UPB,3/15/10 0:00
57818,1000005665,No,Cargas Office Building,1310 Marshall Avenue,Lancaster,PA,17602,US,LEED-NC v2009,58.0,Silver,4/30/13 0:00,Yes,Corporate: Privately Held,11500.0,57445.0,Office: Administrative/Professional,Wohlsen Construction Company,4/7/10 0:00
57820,1000005668,No,Black and Veatch World Headquarters,11401 Lamar Ave,Overland Park,KS,66211,US,LEED-NC v2009,40.0,Certified,4/2/15 0:00,Yes,Corporate: Privately Held,610600.0,550344.0,Office: Administrative/Professional,Black & Veatch Corporation,4/7/10 0:00
57840,1000005692,No,Paramount HC REIT Peters Township,240 East McMurray Road,McMurray,PA,15317,US,LEED-NC v2009,55.0,Silver,4/9/12 0:00,Yes,Corporate: Privately Held,80900.0,653400.0,Health Care: Nursing Home/ Assisted Living,Paramount Senior Living,4/8/10 0:00
57852,1000005705,No,Tri Vantage LLC/CDC,1021 Corporate Park Drive,Mebane,NC,27302,US,LEED-NC v2009,51.0,Silver,8/3/11 0:00,Yes,Corporate: Privately Held,102152.0,531859.0,"Warehouse and Distribution Center: Nonrefrigerated, Distribu",Tri Vantage,4/9/10 0:00
58048,1000005942,No,Fairfield Hy-Vee,1300 West Burlington Avenue,Fairfield,IA,52556,US,LEED-NC v2009,40.0,Certified,9/10/12 0:00,Yes,Corporate: Privately Held,64071.0,323387.0,Retail: Grocery Store/Food Market,"Hy-Vee, Inc.",4/21/10 0:00
58056,1000005952,No,Department of Motor Vehicles - El Monte,4000 Arden Drive,El Monte,CA,90630,US,LEED-NC v2009,56.0,Silver,3/8/12 0:00,Yes,Corporate: Privately Held,10595.0,89283.0,Service: Other Service,"DMV Arden XC, LP",4/21/10 0:00
58160,1000006076,No,Emagine Entertainment,217-223 E. 11 Mile Rd.,Royal Oak,MI,48067,US,LEED-NC v2009,40.0,Certified,12/21/11 0:00,Yes,Corporate: Privately Held,71727.0,67965.0,Public Assembly: Entertainment,Emagine Entertainment,4/27/10 0:00
58207,1000006139,No,Vista Mar Apartments,3606 NW 5th Avenue,Miami,FL,33127,US,LEED-NC v2009,51.0,Silver,2/7/12 0:00,Yes,Corporate: Privately Held,214102.39,40897.0,Multi-Family Residential: Apartment,Pinnacle Housing Group,4/29/10 0:00
58236,1000006172,No,Royal Farms 160,2812 Pulaski Hwy,Glasgow,DE,19702,US,LEED-NC v2009,41.0,Certified,8/6/12 0:00,Yes,Corporate: Privately Held,5125.0,247856.0,Retail: Convenience Store,Royal Farms,5/3/10 0:00
58238,1000006174,No,Royal Farms 121,Route 13 & Route 14,Harrington,DE,19952,US,LEED-NC v2009,44.0,Certified,5/21/12 0:00,Yes,Corporate: Privately Held,5125.0,73180.0,Retail: Convenience Store,Royal Farms,5/3/10 0:00
58254,1000006192,No,York County Natural Gas Service Facility,965 West Main Street,Rock Hill,SC,29731,US,LEED-NC v2009,50.0,Silver,1/16/14 0:00,Yes,Corporate: Privately Held,19878.0,111339.0,Office: Mixed-Use,York County Natural Gas Authority,5/3/10 0:00
58385,1000006352,No,ICE,8860 Salrose Lane,Fort Myers,FL,33912,US,LEED-NC v2009,52.0,Silver,3/1/12 0:00,Yes,Corporate: Privately Held,40719.0,109567.0,Office: Other Office,Procacci Development Corporation,5/11/10 0:00
